ID;Date From;Date To;Lead Time;Process Type;Type;Team
3027;2008-10-09;2008-10-16;42;Scrum;Bug;
3028;2008-10-07;2008-10-08;105;Scrum;Bug;
3030;2008-12-30;2008-12-30;11;Scrum;Bug;
3038;2008-10-07;2008-10-07;1;Scrum;Bug;
3043;2008-11-20;2008-11-28;19;Scrum;Bug;
3044;2008-10-19;2008-10-19;97;Scrum;Bug;
3046;2008-11-19;2008-11-19;64;Scrum;Bug;
3047;2008-11-19;2008-11-19;63;Scrum;Bug;
3048;2008-11-19;2008-11-19;64;Scrum;Bug;
3049;2008-11-19;2008-11-19;34;Scrum;Bug;
3050;2008-11-19;2008-11-19;1;Scrum;Bug;
3052;2008-10-09;2008-10-10;48;Scrum;Feature;
3055;2008-11-06;2008-11-07;41;Scrum;Feature;
3059;2008-10-17;2008-10-17;41;Scrum;Feature;
3060;2008-11-07;2008-11-07;12;Scrum;Feature;
3062;2008-12-18;2008-12-18;42;Scrum;Bug;
3063;2008-10-20;2008-10-20;1;Scrum;Bug;
3072;2008-10-10;2008-11-05;67;Scrum;Bug;
3075;2008-11-20;2008-12-30;14;Scrum;Bug;
3076;2008-11-27;2008-12-01;7;Scrum;Feature;
3077;2008-10-09;2008-11-04;21;Scrum;Feature;
3078;2008-12-11;2008-12-18;4;Scrum;Bug;
3079;2008-10-15;2008-10-20;1;Scrum;Bug;
3080;2008-12-08;2008-12-09;10;Scrum;Bug;
3085;2008-12-09;2008-12-12;40;Scrum;Bug;
3086;2009-01-07;2009-01-08;21;Scrum;Bug;
3119;2008-11-20;2008-12-02;15;Scrum;Bug;
3120;2008-11-20;2008-12-11;7;Scrum;Bug;
3121;2009-01-08;2009-01-08;7;Scrum;Bug;
3122;2008-10-10;2008-10-10;35;Scrum;Bug;
3123;2008-12-16;2008-12-16;50;Scrum;Bug;
3126;2008-10-10;2008-10-10;120;Scrum;Bug;
3129;2008-10-10;2008-10-23;85;Scrum;Bug;
3130;2008-10-13;2008-10-15;41;Scrum;Bug;
3132;2009-01-06;2009-01-07;20;Scrum;Bug;
3133;2008-11-11;2008-11-20;62;Scrum;Bug;
3134;2008-10-13;2008-10-15;99;Scrum;Bug;
3135;2008-11-20;2008-11-25;58;Scrum;Bug;
3136;2008-12-02;2009-01-02;4;Scrum;Bug;
3139;2009-01-05;2009-01-05;19;Scrum;Bug;
3140;2008-10-21;2008-10-21;9;Scrum;Bug;
3141;2008-11-11;2008-11-14;7;Scrum;Bug;
3142;2008-10-13;2008-10-13;1;Scrum;Bug;
3143;2008-10-13;2008-10-15;30;Scrum;Bug;
3145;2008-11-20;2008-12-11;42;Scrum;Bug;
3146;2008-10-14;2008-10-21;1;Scrum;Bug;
3147;2008-10-15;2008-10-15;99;Scrum;Bug;
3148;2008-11-21;2008-11-21;61;Scrum;Bug;
3151;2008-10-15;2008-10-27;91;Scrum;Bug;
3157;2008-10-15;2008-10-29;1;Scrum;Bug;
3161;2008-10-15;2008-11-05;38;Scrum;Bug;
3174;2008-10-27;2008-11-12;120;Scrum;Feature;
3179;2008-11-20;2008-11-20;6;Scrum;Feature;
3180;2008-10-27;2008-10-27;87;Scrum;Feature;
3181;2008-10-30;2008-10-30;73;Scrum;Feature;
3185;2008-11-06;2009-03-11;1;Scrum;Feature;
3187;2008-10-16;2008-10-16;110;Scrum;Bug;
3188;2008-10-17;2008-10-17;57;Scrum;Bug;
3189;2009-12-09;2010-08-06;1;Scrum;Bug;
3193;2009-01-20;2009-01-27;6;Scrum;Bug;
3198;2009-01-06;2009-01-06;6;Scrum;Bug;
