,,WIP,Throughput,TP_Feature,TP_bugs,Bugs,Precent_finished_bugs_quarter,Average_Days_Backlog,Leadtime,Churn,Churn_feature,Churn_Bugs
WIP,Pearson Correlation,1,.697*,.659*,.856**,.730*,0.387,-0.221,-0.011,-0.023,0.578,0.563
,Sig. (2-tailed),,0.025,0.038,0.002,0.026,0.303,0.568,0.975,0.949,0.08,0.09
,N,10,10,10,10,9,9,9,10,10,10,10
Throughput,Pearson Correlation,.697*,1,.973**,.714*,.906**,0.463,0.041,0.351,0.185,0.631,0.555
,Sig. (2-tailed),0.025,,0,0.02,0.001,0.209,0.917,0.32,0.61,0.05,0.096
,N,10,10,10,10,9,9,9,10,10,10,10
TP_Feature,Pearson Correlation,.659*,.973**,1,.659*,.917**,0.416,-0.055,0.292,0.029,0.61,0.474
,Sig. (2-tailed),0.038,0,,0.038,0.001,0.265,0.889,0.413,0.938,0.061,0.166
,N,10,10,10,10,9,9,9,10,10,10,10
TP_bugs,Pearson Correlation,.856**,.714*,.659*,1,.863**,0.408,-0.192,0.164,0.178,0.563,.644*
,Sig. (2-tailed),0.002,0.02,0.038,,0.003,0.276,0.62,0.651,0.622,0.09,0.045
,N,10,10,10,10,9,9,9,10,10,10,10
Bugs,Pearson Correlation,.730*,.906**,.917**,.863**,1,0.382,0.051,0.168,0.072,0.59,0.555
,Sig. (2-tailed),0.026,0.001,0.001,0.003,,0.311,0.904,0.665,0.854,0.095,0.121
,N,9,9,9,9,9,9,8,9,9,9,9
Precent_finished_bugs_quarter,Pearson Correlation,0.387,0.463,0.416,0.408,0.382,1,-0.603,-0.237,-0.235,0.38,0.477
,Sig. (2-tailed),0.303,0.209,0.265,0.276,0.311,,0.114,0.54,0.542,0.313,0.194
,N,9,9,9,9,9,9,8,9,9,9,9
Average_Days_Backlog,Pearson Correlation,-0.221,0.041,-0.055,-0.192,0.051,-0.603,1,0.297,0.558,-0.181,0.107
,Sig. (2-tailed),0.568,0.917,0.889,0.62,0.904,0.114,,0.438,0.118,0.641,0.785
,N,9,9,9,9,8,8,9,9,9,9,9
Leadtime,Pearson Correlation,-0.011,0.351,0.292,0.164,0.168,-0.237,0.297,1,.758*,0.333,-0.194
,Sig. (2-tailed),0.975,0.32,0.413,0.651,0.665,0.54,0.438,,0.011,0.347,0.592
,N,10,10,10,10,9,9,9,10,10,10,10
Churn,Pearson Correlation,-0.023,0.185,0.029,0.178,0.072,-0.235,0.558,.758*,1,-0.059,-0.097
,Sig. (2-tailed),0.949,0.61,0.938,0.622,0.854,0.542,0.118,0.011,,0.872,0.79
,N,10,10,10,10,9,9,9,10,10,10,10
Churn_feature,Pearson Correlation,0.578,0.631,0.61,0.563,0.59,0.38,-0.181,0.333,-0.059,1,0.431
,Sig. (2-tailed),0.08,0.05,0.061,0.09,0.095,0.313,0.641,0.347,0.872,,0.213
,N,10,10,10,10,9,9,9,10,10,10,10
Churn_Bugs,Pearson Correlation,0.563,0.555,0.474,.644*,0.555,0.477,0.107,-0.194,-0.097,0.431,1
,Sig. (2-tailed),0.09,0.096,0.166,0.045,0.121,0.194,0.785,0.592,0.79,0.213,
,N,10,10,10,10,9,9,9,10,10,10,10
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
