Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,Tp_bugs,Bugs,Precent_bugs_fininshed,Average_Days_Backlog_Bugs,Leadtime,Churn,Churn_feature,Churn_Bugs
WIP,Pearson Correlation,1,0.054,-0.085,-0.007,0.119,-.204*,-0.082,0.052,-0.067,-0.081,-0.047
,Sig. (2-tailed),,0.525,0.319,0.932,0.162,0.016,0.335,0.539,0.434,0.343,0.578
,N,140,140,140,140,140,140,140,140,140,140,140
Throughput,Pearson Correlation,0.054,1,.514**,.328**,.742**,.363**,.626**,.657**,.636**,-0.163,.640**
,Sig. (2-tailed),0.525,,0,0,0,0,0,0,0,0.054,0
,N,140,140,140,140,140,140,140,140,140,140,140
TP_feature,Pearson Correlation,-0.085,.514**,1,0.162,.228**,-0.057,-0.065,-0.099,-0.123,0.04,-0.136
,Sig. (2-tailed),0.319,0,,0.056,0.007,0.504,0.448,0.245,0.147,0.642,0.108
,N,140,140,140,140,140,140,140,140,140,140,140
Tp_bgs,Pearson Correlation,-0.007,.328**,0.162,1,.534**,.215*,.207*,.288**,.166*,-0.108,.173*
,Sig. (2-tailed),0.932,0,0.056,,0,0.011,0.014,0.001,0.05,0.204,0.041
,N,140,140,140,140,140,140,140,140,140,140,140
Bugs,Pearson Correlation,0.119,.742**,.228**,.534**,1,.498**,.685**,.715**,.685**,-0.067,.689**
,Sig. (2-tailed),0.162,0,0.007,0,,0,0,0,0,0.434,0
,N,140,140,140,140,140,140,140,140,140,140,140
Precent_bgs_fininshed,Pearson Correlation,-.204*,.363**,-0.057,.215*,.498**,1,.414**,.666**,.765**,-0.157,.768**
,Sig. (2-tailed),0.016,0,0.504,0.011,0,,0,0,0,0.064,0
,N,140,140,140,140,140,140,140,140,140,140,140
Average_Days_Backlog_Bgs,Pearson Correlation,-0.082,.626**,-0.065,.207*,.685**,.414**,1,.831**,.842**,-0.05,.838**
,Sig. (2-tailed),0.335,0,0.448,0.014,0,0,,0,0,0.557,0
,N,140,140,140,140,140,140,140,140,140,140,140
Leadtime,Pearson Correlation,0.052,.657**,-0.099,.288**,.715**,.666**,.831**,1,.928**,-0.163,.937**
,Sig. (2-tailed),0.539,0,0.245,0.001,0,0,0,,0,0.055,0
,N,140,140,140,140,140,140,140,140,140,140,140
Churn,Pearson Correlation,-0.067,.636**,-0.123,.166*,.685**,.765**,.842**,.928**,1,-0.063,.996**
,Sig. (2-tailed),0.434,0,0.147,0.05,0,0,0,0,,0.463,0
,N,140,140,140,140,140,140,140,140,140,140,140
Chrn_feature,Pearson Correlation,-0.081,-0.163,0.04,-0.108,-0.067,-0.157,-0.05,-0.163,-0.063,1,-0.148
,Sig. (2-tailed),0.343,0.054,0.642,0.204,0.434,0.064,0.557,0.055,0.463,,0.082
,N,140,140,140,140,140,140,140,140,140,140,140
Chrn_Bgs,Pearson Correlation,-0.047,.640**,-0.136,.173*,.689**,.768**,.838**,.937**,.996**,-0.148,1
,Sig. (2-tailed),0.578,0,0.108,0.041,0,0,0,0,0,0.082,
,N,140,140,140,140,140,140,140,140,140,140,140
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
