Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,TP_bug,Bugs,Precent_finished_bugs_quarter,Average_days_in_backlog_for_bugs,Leadtime,Churn,Churn_ft,Churn_bugs
WIP,Pearson Correlation,1,0.283,-0.256,0.372,0.324,.824**,-0.17,-0.093,0.394,-0.036,.661*
,Sig. (2-tailed),,0.348,0.399,0.21,0.281,0.001,0.578,0.763,0.182,0.908,0.014
,N,13,13,13,13,13,13,13,13,13,13,13
Throughput,Pearson Correlation,0.283,1,-0.017,.820**,.823**,.708**,0.094,0.237,.747**,0.183,.700**
,Sig. (2-tailed),0.348,,0.957,0.001,0.001,0.007,0.76,0.435,0.003,0.55,0.008
,N,13,13,13,13,13,13,13,13,13,13,13
TP_feature,Pearson Correlation,-0.256,-0.017,1,-0.544,-0.521,-0.298,-0.442,.874**,0.482,.810**,-0.382
,Sig. (2-tailed),0.399,0.957,,0.055,0.068,0.323,0.131,0,0.095,0.001,0.198
,N,13,13,13,13,13,13,13,13,13,13,13
TP_bg,Pearson Correlation,0.372,.820**,-0.544,1,.978**,.742**,0.338,-0.273,0.336,-0.294,.820**
,Sig. (2-tailed),0.21,0.001,0.055,,0,0.004,0.258,0.366,0.261,0.33,0.001
,N,13,13,13,13,13,13,13,13,13,13,13
Bugs,Pearson Correlation,0.324,.823**,-0.521,.978**,1,.703**,0.377,-0.227,0.34,-0.256,.775**
,Sig. (2-tailed),0.281,0.001,0.068,0,,0.007,0.204,0.455,0.255,0.399,0.002
,N,13,13,13,13,13,13,13,13,13,13,13
Precent_finished_bgs_quarter,Pearson Correlation,.824**,.708**,-0.298,.742**,.703**,1,-0.1,-0.045,.607*,-0.054,.900**
,Sig. (2-tailed),0.001,0.007,0.323,0.004,0.007,,0.745,0.885,0.028,0.86,0
,N,13,13,13,13,13,13,13,13,13,13,13
Average_days_in_backlog_for_bgs,Pearson Correlation,-0.17,0.094,-0.442,0.338,0.377,-0.1,1,-0.201,-0.185,-0.373,0.21
,Sig. (2-tailed),0.578,0.76,0.131,0.258,0.204,0.745,,0.511,0.546,0.209,0.49
,N,13,13,13,13,13,13,13,13,13,13,13
Leadtime,Pearson Correlation,-0.093,0.237,.874**,-0.273,-0.227,-0.045,-0.201,1,.712**,.864**,-0.115
,Sig. (2-tailed),0.763,0.435,0,0.366,0.455,0.885,0.511,,0.006,0,0.708
,N,13,13,13,13,13,13,13,13,13,13,13
Churn,Pearson Correlation,0.394,.747**,0.482,0.336,0.34,.607*,-0.185,.712**,1,.656*,0.514
,Sig. (2-tailed),0.182,0.003,0.095,0.261,0.255,0.028,0.546,0.006,,0.015,0.072
,N,13,13,13,13,13,13,13,13,13,13,13
Chrn_ft,Pearson Correlation,-0.036,0.183,.810**,-0.294,-0.256,-0.054,-0.373,.864**,.656*,1,-0.25
,Sig. (2-tailed),0.908,0.55,0.001,0.33,0.399,0.86,0.209,0,0.015,,0.41
,N,13,13,13,13,13,13,13,13,13,13,13
Chrn_bgs,Pearson Correlation,.661*,.700**,-0.382,.820**,.775**,.900**,0.21,-0.115,0.514,-0.25,1
,Sig. (2-tailed),0.014,0.008,0.198,0.001,0.002,0,0.49,0.708,0.072,0.41,
,N,13,13,13,13,13,13,13,13,13,13,13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
