Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,Tp_bugs,Bugs,Precent_bugs_fininshed,Average_Days_Backlog_Bugs,Leadtime,Churn,Churn_feature,Churn_Bugs
WIP,Pearson Correlation,1,-0.206,-0.16,-0.217,-0.281,-0.283,-.606*,-0.054,-0.372,0.081,-0.432
,Sig. (2-tailed),,0.48,0.585,0.456,0.33,0.327,0.021,0.854,0.191,0.784,0.122
,N,14,14,14,14,14,14,14,14,14,14,14
Throughput,Pearson Correlation,-0.206,1,-0.11,.996**,.956**,.668**,0.273,.896**,0.063,-0.355,0.108
,Sig. (2-tailed),0.48,,0.709,0,0,0.009,0.346,0,0.831,0.213,0.714
,N,14,14,14,14,14,14,14,14,14,14,14
TP_feature,Pearson Correlation,-0.16,-0.11,1,-0.181,-0.251,0.418,0.269,-0.264,0.076,-0.137,0.091
,Sig. (2-tailed),0.585,0.709,,0.535,0.387,0.136,0.351,0.361,0.797,0.641,0.758
,N,14,14,14,14,14,14,14,14,14,14,14
Tp_bgs,Pearson Correlation,-0.217,.996**,-0.181,1,.965**,.632*,0.263,.906**,0.07,-0.324,0.113
,Sig. (2-tailed),0.456,0,0.535,,0,0.015,0.364,0,0.812,0.258,0.702
,N,14,14,14,14,14,14,14,14,14,14,14
Bugs,Pearson Correlation,-0.281,.956**,-0.251,.965**,1,.594*,0.388,.884**,0.186,-0.193,0.226
,Sig. (2-tailed),0.33,0,0.387,0,,0.025,0.17,0,0.523,0.509,0.438
,N,14,14,14,14,14,14,14,14,14,14,14
Precent_bgs_fininshed,Pearson Correlation,-0.283,.668**,0.418,.632*,.594*,1,0.395,.574*,0.436,-0.116,0.441
,Sig. (2-tailed),0.327,0.009,0.136,0.015,0.025,,0.162,0.032,0.119,0.693,0.114
,N,14,14,14,14,14,14,14,14,14,14,14
Average_Days_Backlog_Bgs,Pearson Correlation,-.606*,0.273,0.269,0.263,0.388,0.395,1,0.099,.759**,0.091,.807**
,Sig. (2-tailed),0.021,0.346,0.351,0.364,0.17,0.162,,0.735,0.002,0.758,0
,N,14,14,14,14,14,14,14,14,14,14,14
Leadtime,Pearson Correlation,-0.054,.896**,-0.264,.906**,.884**,.574*,0.099,1,0.005,-0.237,0.03
,Sig. (2-tailed),0.854,0,0.361,0,0,0.032,0.735,,0.986,0.414,0.92
,N,14,14,14,14,14,14,14,14,14,14,14
Churn,Pearson Correlation,-0.372,0.063,0.076,0.07,0.186,0.436,.759**,0.005,1,0.328,.993**
,Sig. (2-tailed),0.191,0.831,0.797,0.812,0.523,0.119,0.002,0.986,,0.253,0
,N,14,14,14,14,14,14,14,14,14,14,14
Chrn_feature,Pearson Correlation,0.081,-0.355,-0.137,-0.324,-0.193,-0.116,0.091,-0.237,0.328,1,0.247
,Sig. (2-tailed),0.784,0.213,0.641,0.258,0.509,0.693,0.758,0.414,0.253,,0.395
,N,14,14,14,14,14,14,14,14,14,14,14
Chrn_Bgs,Pearson Correlation,-0.432,0.108,0.091,0.113,0.226,0.441,.807**,0.03,.993**,0.247,1
,Sig. (2-tailed),0.122,0.714,0.758,0.702,0.438,0.114,0,0.92,0,0.395,
,N,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
