Correlations,,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,TP_bug,Bugs,Precent_finished_bugs_quarter,Average_days_in_backlog_for_bugs,Leadtime,Churn,Churn_ft,Churn_bugs,Team_size
WIP,Pearson Correlation,1,0.52,0.252,.539*,0.502,0.192,-0.183,.566*,0.027,0.061,0.114,.575*
,Sig. (2-tailed),,0.056,0.384,0.047,0.068,0.511,0.532,0.035,0.927,0.837,0.697,0.031
,N,14,14,14,14,14,14,14,14,14,14,14,14
Throughput,Pearson Correlation,0.52,1,.854**,.994**,.975**,0.12,0.135,0.365,-0.057,0.41,-0.099,.687**
,Sig. (2-tailed),0.056,,0,0,0,0.683,0.644,0.199,0.846,0.145,0.737,0.007
,N,14,14,14,14,14,14,14,14,14,14,14,14
TP_feature,Pearson Correlation,0.252,.854**,1,.822**,.881**,0.133,0.244,0.142,-0.03,0.49,-0.15,0.481
,Sig. (2-tailed),0.384,0,,0,0,0.651,0.401,0.628,0.919,0.075,0.608,0.082
,N,14,14,14,14,14,14,14,14,14,14,14,14
TP_bug,Pearson Correlation,.539*,.994**,.822**,1,.959**,0.129,0.079,0.419,-0.028,0.407,-0.064,.673**
,Sig. (2-tailed),0.047,0,0,,0,0.659,0.788,0.136,0.925,0.148,0.828,0.008
,N,14,14,14,14,14,14,14,14,14,14,14,14
Bugs,Pearson Correlation,0.502,.975**,.881**,.959**,1,0.171,0.178,0.324,-0.056,0.43,-0.108,.711**
,Sig. (2-tailed),0.068,0,0,0,,0.559,0.543,0.259,0.849,0.125,0.714,0.004
,N,14,14,14,14,14,14,14,14,14,14,14,14
Precent_finished_bgs_quarter,Pearson Correlation,0.192,0.12,0.133,0.129,0.171,1,-.751**,-0.085,-0.307,0.208,-0.334,0.285
,Sig. (2-tailed),0.511,0.683,0.651,0.659,0.559,,0.002,0.772,0.286,0.475,0.243,0.324
,N,14,14,14,14,14,14,14,14,14,14,14,14
Average_days_in_backlog_for_bgs,Pearson Correlation,-0.183,0.135,0.244,0.079,0.178,-.751**,1,-0.076,0.146,0.065,0.085,0.03
,Sig. (2-tailed),0.532,0.644,0.401,0.788,0.543,0.002,,0.796,0.619,0.825,0.773,0.919
,N,14,14,14,14,14,14,14,14,14,14,14,14
Leadtime,Pearson Correlation,.566*,0.365,0.142,0.419,0.324,-0.085,-0.076,1,0.179,0.114,0.245,0.357
,Sig. (2-tailed),0.035,0.199,0.628,0.136,0.259,0.772,0.796,,0.54,0.697,0.399,0.21
,N,14,14,14,14,14,14,14,14,14,14,14,14
Churn,Pearson Correlation,0.027,-0.057,-0.03,-0.028,-0.056,-0.307,0.146,0.179,1,0.219,.943**,-.541*
,Sig. (2-tailed),0.927,0.846,0.919,0.925,0.849,0.286,0.619,0.54,,0.451,0,0.046
,N,14,14,14,14,14,14,14,14,14,14,14,14
Chrn_ft,Pearson Correlation,0.061,0.41,0.49,0.407,0.43,0.208,0.065,0.114,0.219,1,-0.079,0.317
,Sig. (2-tailed),0.837,0.145,0.075,0.148,0.125,0.475,0.825,0.697,0.451,,0.789,0.269
,N,14,14,14,14,14,14,14,14,14,14,14,14
Chrn_bgs,Pearson Correlation,0.114,-0.099,-0.15,-0.064,-0.108,-0.334,0.085,0.245,.943**,-0.079,1,-.552*
,Sig. (2-tailed),0.697,0.737,0.608,0.828,0.714,0.243,0.773,0.399,0,0.789,,0.041
,N,14,14,14,14,14,14,14,14,14,14,14,14
Team_size,Pearson Correlation,.575*,.687**,0.481,.673**,.711**,0.285,0.03,0.357,-.541*,0.317,-.552*,1
,Sig. (2-tailed),0.031,0.007,0.082,0.008,0.004,0.324,0.919,0.21,0.046,0.269,0.041,
,N,14,14,14,14,14,14,14,14,14,14,14,14
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,,
