Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,Tp_bugs,Bugs,Precent_bugs_fininshed,Average_Days_Backlog_Bugs,Leadtime,Churn,Churn_feature,Churn_Bugs
WIP,Pearson Correlation,1,0.337,0.474,0.331,0.121,0.244,0.073,.698*,0.254,0.208,0.014
,Sig. (2-tailed),,0.341,0.166,0.35,0.738,0.496,0.842,0.025,0.479,0.564,0.97
,N,10,10,10,10,10,10,10,10,10,10,10
Throughput,Pearson Correlation,0.337,1,.708*,.953**,.885**,.673*,0.011,-0.055,-0.328,-0.306,-0.331
,Sig. (2-tailed),0.341,,0.022,0,0.001,0.033,0.976,0.879,0.355,0.39,0.35
,N,10,10,10,10,10,10,10,10,10,10,10
TP_feature,Pearson Correlation,0.474,.708*,1,0.483,0.571,.673*,-0.389,0.063,0.145,0.143,-0.393
,Sig. (2-tailed),0.166,0.022,,0.157,0.085,0.033,0.266,0.863,0.688,0.694,0.262
,N,10,10,10,10,10,10,10,10,10,10,10
Tp_bugs,Pearson Correlation,0.331,.953**,0.483,1,.844**,0.585,0.172,-0.026,-0.44,-0.387,-0.273
,Sig. (2-tailed),0.35,0,0.157,,0.002,0.076,0.634,0.943,0.203,0.269,0.445
,N,10,10,10,10,10,10,10,10,10,10,10
Bugs,Pearson Correlation,0.121,.885**,0.571,.844**,1,0.498,0.005,-0.265,-0.359,-0.465,-0.13
,Sig. (2-tailed),0.738,0.001,0.085,0.002,,0.143,0.988,0.459,0.309,0.176,0.72
,N,10,10,10,10,10,10,10,10,10,10,10
Precent_bugs_fininshed,Pearson Correlation,0.244,.673*,.673*,0.585,0.498,1,-0.489,-0.349,-0.059,0.17,-0.582
,Sig. (2-tailed),0.496,0.033,0.033,0.076,0.143,,0.151,0.322,0.871,0.639,0.077
,N,10,10,10,10,10,10,10,10,10,10,10
Average_Days_Backlog_Bugs,Pearson Correlation,0.073,0.011,-0.389,0.172,0.005,-0.489,1,0.335,-0.488,-0.42,0.318
,Sig. (2-tailed),0.842,0.976,0.266,0.634,0.988,0.151,,0.344,0.152,0.227,0.371
,N,10,10,10,10,10,10,10,10,10,10,10
Leadtime,Pearson Correlation,.698*,-0.055,0.063,-0.026,-0.265,-0.349,0.335,1,0.453,-0.03,0.127
,Sig. (2-tailed),0.025,0.879,0.863,0.943,0.459,0.322,0.344,,0.189,0.935,0.727
,N,10,10,10,10,10,10,10,10,10,10,10
Churn,Pearson Correlation,0.254,-0.328,0.145,-0.44,-0.359,-0.059,-0.488,0.453,1,0.047,-0.008
,Sig. (2-tailed),0.479,0.355,0.688,0.203,0.309,0.871,0.152,0.189,,0.898,0.982
,N,10,10,10,10,10,10,10,10,10,10,10
Churn_feature,Pearson Correlation,0.208,-0.306,0.143,-0.387,-0.465,0.17,-0.42,-0.03,0.047,1,-0.248
,Sig. (2-tailed),0.564,0.39,0.694,0.269,0.176,0.639,0.227,0.935,0.898,,0.49
,N,10,10,10,10,10,10,10,10,10,10,10
Churn_Bugs,Pearson Correlation,0.014,-0.331,-0.393,-0.273,-0.13,-0.582,0.318,0.127,-0.008,-0.248,1
,Sig. (2-tailed),0.97,0.35,0.262,0.445,0.72,0.077,0.371,0.727,0.982,0.49,
,N,10,10,10,10,10,10,10,10,10,10,10
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
