Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_Feature,TP_bugs,Bugs,Precent_finished_bugs_quarter,Average_Days_Backlog,Leadtime,Churn,Churn_feature,Churn_Bugs
WIP,Pearson Correlation,1,0.49,0.458,0.573,.753*,.849**,0.161,.765*,-0.171,-0.166,-0.173
,Sig. (2-tailed),,0.15,0.183,0.084,0.012,0.002,0.658,0.01,0.637,0.646,0.633
,N,10,10,10,10,10,10,10,10,10,10,10
Throughput,Pearson Correlation,0.49,1,.900**,0.564,0.463,0.309,-0.055,0.325,0.463,0.118,0.013
,Sig. (2-tailed),0.15,,0,0.089,0.178,0.385,0.88,0.359,0.178,0.746,0.972
,N,10,10,10,10,10,10,10,10,10,10,10
TP_Feature,Pearson Correlation,0.458,.900**,1,0.351,0.483,0.408,0.064,0.338,0.565,0.258,0.127
,Sig. (2-tailed),0.183,0,,0.319,0.157,0.241,0.862,0.339,0.089,0.472,0.727
,N,10,10,10,10,10,10,10,10,10,10,10
TP_bgs,Pearson Correlation,0.573,0.564,0.351,1,0.605,0.582,0.401,0.556,0.084,0.154,-0.612
,Sig. (2-tailed),0.084,0.089,0.319,,0.064,0.078,0.25,0.095,0.817,0.671,0.06
,N,10,10,10,10,10,10,10,10,10,10,10
Bugs,Pearson Correlation,.753*,0.463,0.483,0.605,1,.860**,0.369,.853**,-0.05,-0.072,-0.078
,Sig. (2-tailed),0.012,0.178,0.157,0.064,,0.001,0.294,0.002,0.89,0.843,0.83
,N,10,10,10,10,10,10,10,10,10,10,10
Precent_finished_bgs_quarter,Pearson Correlation,.849**,0.309,0.408,0.582,.860**,1,0.445,.772**,-0.16,0,-0.283
,Sig. (2-tailed),0.002,0.385,0.241,0.078,0.001,,0.197,0.009,0.66,1,0.428
,N,10,10,10,10,10,10,10,10,10,10,10
Average_Days_Backlog,Pearson Correlation,0.161,-0.055,0.064,0.401,0.369,0.445,1,0.508,0.389,0.506,-0.359
,Sig. (2-tailed),0.658,0.88,0.862,0.25,0.294,0.197,,0.134,0.267,0.136,0.308
,N,10,10,10,10,10,10,10,10,10,10,10
Leadtime,Pearson Correlation,.765*,0.325,0.338,0.556,.853**,.772**,0.508,1,0.084,0.052,-0.058
,Sig. (2-tailed),0.01,0.359,0.339,0.095,0.002,0.009,0.134,,0.818,0.887,0.873
,N,10,10,10,10,10,10,10,10,10,10,10
Churn,Pearson Correlation,-0.171,0.463,0.565,0.084,-0.05,-0.16,0.389,0.084,1,.777**,0.252
,Sig. (2-tailed),0.637,0.178,0.089,0.817,0.89,0.66,0.267,0.818,,0.008,0.482
,N,10,10,10,10,10,10,10,10,10,10,10
Chrn_feature,Pearson Correlation,-0.166,0.118,0.258,0.154,-0.072,0,0.506,0.052,.777**,1,0.078
,Sig. (2-tailed),0.646,0.746,0.472,0.671,0.843,1,0.136,0.887,0.008,,0.83
,N,10,10,10,10,10,10,10,10,10,10,10
Chrn_Bgs,Pearson Correlation,-0.173,0.013,0.127,-0.612,-0.078,-0.283,-0.359,-0.058,0.252,0.078,1
,Sig. (2-tailed),0.633,0.972,0.727,0.06,0.83,0.428,0.308,0.873,0.482,0.83,
,N,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
