Throughput, Throughput_ft, Throughput_bug, bugs, precent_bugs, Average_days_in_backlog_bugs, leadtime, Churn, Churn_ft, Churn_bugs
0.37, 0.31,0.09,0.10,-0.28,0.03,-0.09,-0.27,0.37,-0.29
0.595, 0.47,0.650,0.49,0.715,-0.31,0.670,0.16,0.03,0.21
0.566, 0.714,0.52,0.25,-0.624,0.51,-0.03,-0.29,-0.38,-0.39
0.86, 0.85,0.27,0.75,0.74,0.10,0.87,0.77,0.78,0.26
0.11, -0.00,0.11,0.11,-0.24,-0.14,0.03,-0.09,-0.15,-0.07
0.08, 0.14,0.07,0.25,-0.04,0,0.32,-0.35,-0.39,0.12
0.49, 0.46,0.57,0.753,0.849,0.16,0.765,-0.17,-0.17,-0.17
0.28, -0.26,0.37,0.32,0.824,-0.17,-0.09,0.39,-0.04,0.661
0.656, 0.599,0.580,-0.05,0.32,-0.40,-0.18,-0.34,-0.17,-0.49
-0.21, -0.16,-0.22,-0.28,-0.28,-0.606,-0.05,-0.37,0.08,-0.43
