Correlations,,,,,,,,,,,,
,,WIP,Throughput,TP_feature,TP_bug,Bugs,Bugs_precent_finished_quarter,Average_days_in_backlog_bugs,Leadtime,Churn,Churn_feature,Churn_bugs
WIP,Pearson Correlation,1,0.532,0.454,0.557,0.099,0.304,-0.105,.646*,0.415,0.123,0.222
,Sig. (2-tailed),,0.092,0.16,0.075,0.771,0.363,0.758,0.032,0.204,0.735,0.512
,N,11,11,11,11,11,11,11,11,11,10,11
Throughput,Pearson Correlation,0.532,1,.728*,.984**,.610*,0.482,-0.023,0.594,.640*,0.451,.629*
,Sig. (2-tailed),0.092,,0.011,0,0.046,0.133,0.946,0.054,0.034,0.19,0.038
,N,11,11,11,11,11,11,11,11,11,10,11
TP_feature,Pearson Correlation,0.454,.728*,1,.674*,0.264,0.542,0.27,0.558,.866**,0.068,.910**
,Sig. (2-tailed),0.16,0.011,,0.023,0.433,0.085,0.423,0.075,0.001,0.851,0
,N,11,11,11,11,11,11,11,11,11,10,11
TP_bug,Pearson Correlation,0.557,.984**,.674*,1,.623*,0.437,-0.028,.662*,.647*,0.449,0.576
,Sig. (2-tailed),0.075,0,0.023,,0.041,0.179,0.935,0.027,0.031,0.193,0.064
,N,11,11,11,11,11,11,11,11,11,10,11
Bugs,Pearson Correlation,0.099,.610*,0.264,.623*,1,-0.22,0.266,0.399,0.192,0.148,0.135
,Sig. (2-tailed),0.771,0.046,0.433,0.041,,0.516,0.43,0.224,0.572,0.684,0.693
,N,11,11,11,11,11,11,11,11,11,10,11
Bugs_precent_finished_quarter,Pearson Correlation,0.304,0.482,0.542,0.437,-0.22,1,-0.243,0.106,0.461,0.08,0.571
,Sig. (2-tailed),0.363,0.133,0.085,0.179,0.516,,0.471,0.756,0.154,0.826,0.067
,N,11,11,11,11,11,11,11,11,11,10,11
Average_days_in_backlog_bugs,Pearson Correlation,-0.105,-0.023,0.27,-0.028,0.266,-0.243,1,0.359,0.258,-0.197,0.263
,Sig. (2-tailed),0.758,0.946,0.423,0.935,0.43,0.471,,0.279,0.443,0.585,0.435
,N,11,11,11,11,11,11,11,11,11,10,11
Leadtime,Pearson Correlation,.646*,0.594,0.558,.662*,0.399,0.106,0.359,1,0.595,0.061,0.422
,Sig. (2-tailed),0.032,0.054,0.075,0.027,0.224,0.756,0.279,,0.054,0.866,0.196
,N,11,11,11,11,11,11,11,11,11,10,11
Churn,Pearson Correlation,0.415,.640*,.866**,.647*,0.192,0.461,0.258,0.595,1,0.199,.892**
,Sig. (2-tailed),0.204,0.034,0.001,0.031,0.572,0.154,0.443,0.054,,0.581,0
,N,11,11,11,11,11,11,11,11,11,10,11
Churn_feature,Pearson Correlation,0.123,0.451,0.068,0.449,0.148,0.08,-0.197,0.061,0.199,1,0.284
,Sig. (2-tailed),0.735,0.19,0.851,0.193,0.684,0.826,0.585,0.866,0.581,,0.427
,N,10,10,10,10,10,10,10,10,10,10,10
Churn_bugs,Pearson Correlation,0.222,.629*,.910**,0.576,0.135,0.571,0.263,0.422,.892**,0.284,1
,Sig. (2-tailed),0.512,0.038,0,0.064,0.693,0.067,0.435,0.196,0,0.427,
,N,11,11,11,11,11,11,11,11,11,10,11
* Correlation is significant at the 0.05 level (2-tailed).,,,,,,,,,,,,
** Correlation is significant at the 0.01 level (2-tailed).,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
