ID,Type,Created Date,Date From,Date To,Lead Time,Lines Added,Lines Modified,Lines Deleted,Team
140.0, Bug , 2008-04-15 , 2008-04-15 , 2008-04-15 ,1.0,0.0,0.0,0.0,
156.0, Bug , 2008-04-15 , 2008-04-16 , 2008-04-16 ,1.0,0.0,0.0,0.0,
158.0, Bug , 2008-04-15 , 2008-04-23 , 2008-04-23 ,1.0,0.0,0.0,0.0,
168.0, Bug , 2008-04-15 , 2008-04-16 , 2008-04-16 ,1.0,0.0,0.0,0.0,
169.0, Bug , 2008-04-15 , 2008-04-16 , 2008-04-16 ,1.0,0.0,0.0,0.0,
170.0, Bug , 2008-04-15 , 2008-04-16 , 2008-04-16 ,1.0,0.0,0.0,0.0,
172.0, Bug , 2008-04-15 , 2008-04-15 , 2008-04-16 ,1.0,0.0,0.0,0.0,
177.0, Bug , 2008-04-15 , 2008-04-16 , 2008-04-17 ,1.0,0.0,0.0,0.0,
375.0, Bug , 2008-04-16 , 2008-04-16 , 2008-04-16 ,1.0,0.0,0.0,0.0,
407.0, Bug , 2008-04-17 , 2008-04-17 , 2008-04-18 ,1.0,0.0,0.0,0.0,
475.0, Bug , 2008-04-21 , 2008-04-21 , 2008-04-21 ,1.0,0.0,0.0,0.0,
1746.0, Bug , 2008-06-04 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
1836.0, Bug , 2008-06-10 , 2008-06-12 , 2008-06-16 ,1.0,0.0,0.0,0.0,
1911.0, Bug , 2008-06-11 , 2008-06-11 , 2008-06-11 ,1.0,0.0,0.0,0.0,
2001.0, Bug , 2008-06-17 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
2007.0, Bug , 2008-06-17 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
2033.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
2461.0, Bug , 2008-08-19 , 2008-08-22 , 2008-09-04 ,1.0,0.0,0.0,0.0,
2612.0, Bug , 2008-09-04 , 2008-09-04 , 2008-09-10 ,1.0,0.0,0.0,0.0,
2719.0, Bug , 2008-09-16 , 2008-09-16 , 2008-09-16 ,1.0,0.0,0.0,0.0,
2758.0, Bug , 2008-09-17 , 2008-09-17 , 2008-09-17 ,1.0,0.0,0.0,0.0,
2897.0, Bug , 2008-09-25 , 2008-09-25 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2903.0, Bug , 2008-09-25 , 2008-09-25 , 2008-09-26 ,1.0,0.0,0.0,0.0,
3468.0, Bug , 2008-10-30 , 2008-10-30 , 2008-10-30 ,1.0,0.0,0.0,0.0,
4049.0, Bug , 2008-12-01 , 2009-11-06 , 2009-11-18 ,1.0,0.0,0.0,0.0,
4121.0, Bug , 2008-12-03 , 2008-12-04 , 2008-12-04 ,1.0,0.0,0.0,0.0,
4373.0, Bug , 2008-12-17 , 2008-12-17 , 2008-12-17 ,1.0,0.0,0.0,0.0,
12019.0, Bug , 2009-09-16 , 2010-03-25 , 2010-04-07 ,1.0,0.0,0.0,0.0,
13062.0, Bug , 2009-10-12 , 2009-10-12 , 2009-10-12 ,1.0,0.0,0.0,0.0,
