This date, then the wip was;WIP;This date, then the baclog was;Backlog
Mon Jan 04 00:00:00 CET 2010;1;Fri Jan 01 00:00:00 CET 2010;1
Tue Jan 05 00:00:00 CET 2010;3;Mon Jan 04 00:00:00 CET 2010;9
Wed Jan 06 00:00:00 CET 2010;6;Tue Jan 05 00:00:00 CET 2010;18
Thu Jan 07 00:00:00 CET 2010;12;Wed Jan 06 00:00:00 CET 2010;26
Fri Jan 08 00:00:00 CET 2010;24;Thu Jan 07 00:00:00 CET 2010;30
Mon Jan 11 00:00:00 CET 2010;21;Fri Jan 08 00:00:00 CET 2010;42
Tue Jan 12 00:00:00 CET 2010;40;Mon Jan 11 00:00:00 CET 2010;40
Wed Jan 13 00:00:00 CET 2010;45;Tue Jan 12 00:00:00 CET 2010;42
Thu Jan 14 00:00:00 CET 2010;40;Wed Jan 13 00:00:00 CET 2010;25
Fri Jan 15 00:00:00 CET 2010;38;Thu Jan 14 00:00:00 CET 2010;23
Mon Jan 18 00:00:00 CET 2010;26;Fri Jan 15 00:00:00 CET 2010;26
Tue Jan 19 00:00:00 CET 2010;28;Mon Jan 18 00:00:00 CET 2010;27
Wed Jan 20 00:00:00 CET 2010;29;Tue Jan 19 00:00:00 CET 2010;32
Thu Jan 21 00:00:00 CET 2010;30;Wed Jan 20 00:00:00 CET 2010;39
Fri Jan 22 00:00:00 CET 2010;28;Thu Jan 21 00:00:00 CET 2010;39
Sun Jan 24 00:00:00 CET 2010;23;Fri Jan 22 00:00:00 CET 2010;43
Mon Jan 25 00:00:00 CET 2010;30;Sun Jan 24 00:00:00 CET 2010;43
Tue Jan 26 00:00:00 CET 2010;31;Mon Jan 25 00:00:00 CET 2010;51
Wed Jan 27 00:00:00 CET 2010;33;Tue Jan 26 00:00:00 CET 2010;56
Thu Jan 28 00:00:00 CET 2010;35;Wed Jan 27 00:00:00 CET 2010;66
Fri Jan 29 00:00:00 CET 2010;33;Thu Jan 28 00:00:00 CET 2010;65
Mon Feb 01 00:00:00 CET 2010;30;Fri Jan 29 00:00:00 CET 2010;67
Tue Feb 02 00:00:00 CET 2010;38;Mon Feb 01 00:00:00 CET 2010;64
Wed Feb 03 00:00:00 CET 2010;40;Tue Feb 02 00:00:00 CET 2010;80
Thu Feb 04 00:00:00 CET 2010;38;Wed Feb 03 00:00:00 CET 2010;86
Fri Feb 05 00:00:00 CET 2010;41;Thu Feb 04 00:00:00 CET 2010;86
Mon Feb 08 00:00:00 CET 2010;50;Fri Feb 05 00:00:00 CET 2010;84
Tue Feb 09 00:00:00 CET 2010;54;Mon Feb 08 00:00:00 CET 2010;85
Wed Feb 10 00:00:00 CET 2010;57;Tue Feb 09 00:00:00 CET 2010;82
Thu Feb 11 00:00:00 CET 2010;58;Wed Feb 10 00:00:00 CET 2010;77
Sat Feb 13 00:00:00 CET 2010;48;Thu Feb 11 00:00:00 CET 2010;89
Sun Feb 14 00:00:00 CET 2010;40;Fri Feb 12 00:00:00 CET 2010;84
Mon Feb 15 00:00:00 CET 2010;44;Sat Feb 13 00:00:00 CET 2010;85
Tue Feb 16 00:00:00 CET 2010;56;Sun Feb 14 00:00:00 CET 2010;85
Wed Feb 17 00:00:00 CET 2010;58;Mon Feb 15 00:00:00 CET 2010;89
Thu Feb 18 00:00:00 CET 2010;56;Tue Feb 16 00:00:00 CET 2010;88
Fri Feb 19 00:00:00 CET 2010;71;Wed Feb 17 00:00:00 CET 2010;88
Mon Feb 22 00:00:00 CET 2010;60;Thu Feb 18 00:00:00 CET 2010;87
Tue Feb 23 00:00:00 CET 2010;63;Fri Feb 19 00:00:00 CET 2010;87
Wed Feb 24 00:00:00 CET 2010;65;Mon Feb 22 00:00:00 CET 2010;76
Thu Feb 25 00:00:00 CET 2010;63;Tue Feb 23 00:00:00 CET 2010;88
Fri Feb 26 00:00:00 CET 2010;66;Wed Feb 24 00:00:00 CET 2010;94
Mon Mar 01 00:00:00 CET 2010;56;Thu Feb 25 00:00:00 CET 2010;91
Tue Mar 02 00:00:00 CET 2010;65;Fri Feb 26 00:00:00 CET 2010;94
Wed Mar 03 00:00:00 CET 2010;72;Sun Feb 28 00:00:00 CET 2010;86
Thu Mar 04 00:00:00 CET 2010;86;Mon Mar 01 00:00:00 CET 2010;100
Fri Mar 05 00:00:00 CET 2010;79;Tue Mar 02 00:00:00 CET 2010;115
Sat Mar 06 00:00:00 CET 2010;70;Wed Mar 03 00:00:00 CET 2010;119
Mon Mar 08 00:00:00 CET 2010;68;Thu Mar 04 00:00:00 CET 2010;123
Tue Mar 09 00:00:00 CET 2010;86;Fri Mar 05 00:00:00 CET 2010;110
Wed Mar 10 00:00:00 CET 2010;95;Sat Mar 06 00:00:00 CET 2010;105
Thu Mar 11 00:00:00 CET 2010;86;Mon Mar 08 00:00:00 CET 2010;108
Fri Mar 12 00:00:00 CET 2010;78;Tue Mar 09 00:00:00 CET 2010;111
Mon Mar 15 00:00:00 CET 2010;68;Wed Mar 10 00:00:00 CET 2010;104
Tue Mar 16 00:00:00 CET 2010;72;Thu Mar 11 00:00:00 CET 2010;100
Wed Mar 17 00:00:00 CET 2010;70;Fri Mar 12 00:00:00 CET 2010;101
Thu Mar 18 00:00:00 CET 2010;68;Mon Mar 15 00:00:00 CET 2010;106
Fri Mar 19 00:00:00 CET 2010;64;Tue Mar 16 00:00:00 CET 2010;101
Mon Mar 22 00:00:00 CET 2010;73;Wed Mar 17 00:00:00 CET 2010;115
Tue Mar 23 00:00:00 CET 2010;91;Thu Mar 18 00:00:00 CET 2010;112
Wed Mar 24 00:00:00 CET 2010;90;Fri Mar 19 00:00:00 CET 2010;116
Thu Mar 25 00:00:00 CET 2010;97;Mon Mar 22 00:00:00 CET 2010;124
Fri Mar 26 00:00:00 CET 2010;101;Tue Mar 23 00:00:00 CET 2010;125
Mon Mar 29 00:00:00 CEST 2010;91;Wed Mar 24 00:00:00 CET 2010;118
Wed Mar 31 00:00:00 CEST 2010;93;Thu Mar 25 00:00:00 CET 2010;118
Thu Apr 01 00:00:00 CEST 2010;92;Fri Mar 26 00:00:00 CET 2010;122
Mon Apr 05 00:00:00 CEST 2010;82;Mon Mar 29 00:00:00 CEST 2010;122
Tue Apr 06 00:00:00 CEST 2010;92;Tue Mar 30 00:00:00 CEST 2010;128
Wed Apr 07 00:00:00 CEST 2010;96;Wed Mar 31 00:00:00 CEST 2010;129
Thu Apr 08 00:00:00 CEST 2010;91;Thu Apr 01 00:00:00 CEST 2010;121
Fri Apr 09 00:00:00 CEST 2010;102;Mon Apr 05 00:00:00 CEST 2010;122
Mon Apr 12 00:00:00 CEST 2010;89;Tue Apr 06 00:00:00 CEST 2010;126
Tue Apr 13 00:00:00 CEST 2010;93;Wed Apr 07 00:00:00 CEST 2010;122
Wed Apr 14 00:00:00 CEST 2010;76;Thu Apr 08 00:00:00 CEST 2010;121
Thu Apr 15 00:00:00 CEST 2010;81;Fri Apr 09 00:00:00 CEST 2010;129
Fri Apr 16 00:00:00 CEST 2010;82;Mon Apr 12 00:00:00 CEST 2010;123
Mon Apr 19 00:00:00 CEST 2010;69;Tue Apr 13 00:00:00 CEST 2010;130
Tue Apr 20 00:00:00 CEST 2010;82;Wed Apr 14 00:00:00 CEST 2010;136
Wed Apr 21 00:00:00 CEST 2010;84;Thu Apr 15 00:00:00 CEST 2010;153
Thu Apr 22 00:00:00 CEST 2010;89;Fri Apr 16 00:00:00 CEST 2010;137
Fri Apr 23 00:00:00 CEST 2010;91;Mon Apr 19 00:00:00 CEST 2010;172
Mon Apr 26 00:00:00 CEST 2010;86;Tue Apr 20 00:00:00 CEST 2010;176
Tue Apr 27 00:00:00 CEST 2010;99;Wed Apr 21 00:00:00 CEST 2010;182
Wed Apr 28 00:00:00 CEST 2010;102;Thu Apr 22 00:00:00 CEST 2010;178
Thu Apr 29 00:00:00 CEST 2010;110;Fri Apr 23 00:00:00 CEST 2010;181
Fri Apr 30 00:00:00 CEST 2010;103;Mon Apr 26 00:00:00 CEST 2010;177
